address,price,lat,lon
1499 N Shore Rd,250000,42.408139,-70.993772
15 Aldrich St,610000,42.28576,-71.139822
150 Blossom St,4000000,42.458485,-70.95176
15 Buff Cir,2500000,42.308066,-71.200387
15 Church St,600000,42.228105,-71.519608
15 Codman Park,2125000,42.320031,-71.093186
15 County St,735000,42.512859,-70.949481
15 Curtis St,400000,42.224506,-71.184812
15 Eden St,1700000,42.3792,-71.068074
15 Ferry St #3-4,180000,42.404688,-71.047906
15 Field Ave,90000,42.216701,-70.963638
15 Grand View Ave,1075000,42.384779,-71.094782
15 Pacella Park Dr,6575000,42.199853,-71.051147
15 Hutchinson St,1500000,42.382286,-71.133944
15 Lincoln St,360000,42.436404,-71.4566
15 Longfellow Rd,503500,42.424174,-71.429947
15 Maine Ter,1060000,42.38874,-71.081283
12 Meadow Ln,900000,42.506497,-70.854671
14 Meadow Ln,900000,42.506514,-70.854657
15 Meadow Ln,900000,42.506432,-70.854439
15 Bowker St,915000,42.382838,-71.200649
15 Phelps St,753500,42.517084,-70.902684
15 Red Spring Rd #15,180000,42.366862,-71.544619
15 Roosevelt St,390000,42.42931,-71.447771
15 Ship St,1555000,42.244039,-70.887232
15 Paine Ave,5025000,42.556266,-70.823204
17 Paine Ave,95000,42.556042,-70.822976
15 Thelma Rd,400000,42.291352,-71.407254
15-17 Tufts Rd,1120000,42.462947,-71.128548
11 Cass St #1,329000,42.276855,-71.164263
102 Greaton Rd,725000,42.292254,-71.152721
15-17 University Rd #A,290000,42.338603,-71.13558
15 Vinson Cir,1870000,42.44972,-71.177799
15 Wayside Ave,457000,42.328472,-71.42185
18-20 Clark St,850000,42.430321,-71.060621
15 White Head Rd,3300000,42.247243,-70.788111
15 Railroad Ave #15,1450000,42.610535,-70.874939
150 2nd St #101,111000,42.273163,-71.402727
150 2nd St #205,131000,42.273163,-71.402727
150 Oakland St,610000,42.418517,-71.082898
1515 Hancock St,18000000,42.24744,-71.00114
152 Leonard St,1450000,42.661902,-70.671419
152 W 3rd St,400000,42.340186,-71.050676
153 Endicott St,2750000,42.548825,-70.939637
153 W Newton St,3180000,42.342558,-71.077616
153 Winter St,895000,42.293921,-71.440404
154 2nd St #111,170000,42.273996,-71.402062
154 Otis St,1060000,42.252697,-70.89308
154 River St,700000,42.370416,-71.222647
154 Washington St,525000,42.253524,-71.166516
154 West St,2660000,42.514809,-71.120344
154 West St,2660000,42.53131,-71.132741
156 West St,2660000,42.539987,-71.139455
1540 N Shore Rd,3800000,42.407553,-70.993783
155 Hartford St,1700000,42.291275,-71.402813
161 Hartford St,1700000,42.291275,-71.402813
21 Bishop St,1700000,42.29156,-71.40092
220 Hartford St,1700000,42.291764,-71.401701
155 Orange St,750000,42.401331,-71.036739
156 Albion St,710000,42.39289,-71.11065
156 Grant Ave,3000000,42.334515,-71.187613
156 Great Rd,790000,42.492514,-71.416415
154-156 Hillside St,1785000,42.331334,-71.106767
155-157 W Springfield St,4700000,42.338849,-71.078594
159 Maplewood Ave,400000,42.624121,-70.669401
161 Maplewood Ave,400000,42.62414,-70.669401
159 Pleasant St,915000,42.36704,-71.192856
80 Broad St #309,600000,42.357598,-71.052925
1599 Washington St #104,359000,42.185317,-71.009441
15 Mary Ellen Rd,1850000,42.334068,-71.218419
16 Argyle St,265000,42.423741,-70.98573
16 Bond St,2000000,42.343496,-71.069348
16 Boston Ave,1050000,42.395373,-71.110871
16 Chauncy St #17,749900,42.379541,-71.122305
16 Columbia St,668000,42.614145,-70.665626
14 Chestnut Ave,590000,42.518481,-71.208221
40 Lantern Ln,490000,42.516332,-71.210408
16 Hayes Ln,915000,42.447891,-71.220577
16 Heather Dr,382500,42.306197,-71.408115
12 Settlers Ln #12,270000,42.34727,-71.501641
16 Liberty Rd,750000,42.513883,-70.865816
16 Nassau Dr,1060000,42.44787,-71.183693
16 Newhall St,13500000,42.462645,-70.939852
16 Sewall St,2446000,42.330984,-71.098196
16 Summit St,1425000,42.353119,-71.190459
16 Taylor Dr #1002,252750,42.525121,-71.12726
16 Todd Pond Rd,2875000,42.413362,-71.319653
16 Woodbine St,1050000,42.391057,-71.104439
2 Earhart St #416,610000,42.36948,-71.075363
16-18 Plymouth St,968000,42.416623,-71.166253
160 Webster St,1210000,42.36589,-71.035128
160 Putnam Ave,2050000,42.365276,-71.113642
1600 West St,185000,42.09042,-71.116408
161 4th St,630000,42.411058,-71.087054
161 Prospect St,575000,42.304875,-71.425302
10 Traverse St,675000,42.61367,-70.645626
161 W Wyoming Ave,775000,42.453808,-71.075013
167 Winchester St,1000000,42.315396,-71.208928
164 Blossom St,24000000,42.458138,-70.951451
1644 Dorchester Ave,1400000,42.294273,-71.061785
165 Boston St,425000,42.522278,-70.916894
165 Cedar St,1,42.393975,-71.11098
35 S Walnut St,1100000,42.247085,-70.995438
166 Auburn St #A,3800000,42.363545,-71.105011
166 Auburn St #B,3800000,42.363545,-71.105011
168 Auburn St #A,3800000,42.363545,-71.105011
168 Auburn St #B,3800000,42.363545,-71.105011
